gender,major,program,GPA
Male,B.Tech,CSE,7.739758675624735
Female,B.Tech,CSE,6.214286508530401
Other,B.Tech,ECE,6.817713777911148
Male,B.Tech,ECE,5.694027888165716
Female,PhD,ECE,8.193143806797465
Male,PhD,ECE,7.7217238184170895
Female,PhD,CSE,8.454182956444223
Female,B.Tech,ECE,5.691611785467316
Male,MS,CND,9.489095486006324
Male,B.Tech,CSE,7.853705581453349
Male,B.Tech,CSE,6.780588461381084
Male,MS,CND,8.371944565633989
Male,B.Tech,CSE,7.0247396448198005
Female,B.Tech,ECE,6.5514070442555425
Female,MS,CSE,8.014709479908348
Female,B.Tech,CSE,7.623210860684185
Male,B.Tech,CSE,5.612615176796053
Male,MS,CND,7.532248451413334
Male,B.Tech,CSE,8.060374475302638
Female,MS,CND,8.317655635969322
Male,MS,CHD,6.7606192239441825
Male,B.Tech,CND,7.773495718890765
Male,PhD,CHD,8.257456053800201
Male,MS,CND,7.907697305277246
Male,PhD,CND,7.639269604440075
Female,B.Tech,ECE,7.932733633774646
Female,B.Tech,ECE,7.64390686750084
Male,B.Tech,ECE,6.201315176504392
Other,B.Tech,CSE,7.579631459589936
Female,MS,ECE,8.494115600749229
Female,B.Tech,ECE,6.88419674373554
Female,PhD,CHD,8.805677882412732
Male,B.Tech,CHD,5.422538194580074
Female,MS,ECE,8.32452556091263
Male,B.Tech,CSE,7.270136130127616
Male,MS,ECE,6.578526976581669
Male,B.Tech,CHD,7.177953846991784
Male,B.Tech,CND,6.459225309847733
Male,B.Tech,CHD,7.305996676515212
Male,B.Tech,ECE,7.632248886626842
Male,B.Tech,ECE,6.771145718366833
Female,PhD,CHD,7.9067987232313
Male,B.Tech,CND,4.879931024908587
Female,MS,ECE,8.876609135309092
Male,B.Tech,CSE,6.9628246023424545
Male,B.Tech,ECE,6.620745958343125
Male,B.Tech,CHD,8.016337609653512
Male,B.Tech,ECE,7.36660901108405
Female,B.Tech,ECE,6.865662735586574
Male,B.Tech,CSE,8.463033022087597
Female,MS,CND,8.692060389672873
Male,B.Tech,ECE,7.61460547966285
Male,B.Tech,CSE,6.991009451425665
Female,B.Tech,CHD,6.245189970333315
Male,B.Tech,ECE,6.017694609634025
Male,B.Tech,CSE,8.266621494790419
Male,B.Tech,CND,6.270413699954409
Male,B.Tech,CSE,7.275270376527717
Male,B.Tech,CSE,6.353728956213953
Male,B.Tech,ECE,6.712634448118254
Male,B.Tech,ECE,6.629725093935805
Male,B.Tech,ECE,6.9483805962696135
Female,PhD,ECE,8.722532886560153
Male,MS,CSE,9.08863632417996
Male,PhD,CND,8.779108930912843
Male,B.Tech,ECE,7.063576499122916
Male,B.Tech,CHD,6.107869120205152
Female,B.Tech,CSE,7.522630730939587
Female,B.Tech,CHD,5.883108485729597
Female,B.Tech,ECE,6.612229390895214
Male,B.Tech,CND,6.7273503803804235
Male,B.Tech,CSE,7.8873879719175
Male,B.Tech,ECE,7.123141389522901
Male,B.Tech,ECE,6.532680223034264
Male,B.Tech,ECE,6.613101485856074
Female,B.Tech,CSE,6.260146120676165
Male,B.Tech,CND,6.501606103396617
Male,PhD,CHD,7.982553251147002
Male,B.Tech,CHD,6.233951738239378
Female,B.Tech,ECE,6.890584023282086
Male,B.Tech,CSE,7.155364329746206
Male,B.Tech,CSE,6.770983289363776
Male,B.Tech,CSE,5.539083021539175
Male,MS,ECE,8.223088363145314
Male,MS,ECE,8.847406086064836
Male,B.Tech,ECE,8.175608672778935
Male,B.Tech,CND,6.900424294520779
Male,B.Tech,CSE,5.995811302916344
Male,MS,CSE,8.199718688348192
Male,MS,CHD,7.543789670201583
Male,B.Tech,CHD,5.173341904002619
Female,B.Tech,CSE,6.827748857126051
Female,B.Tech,CSE,6.914283293089674
Male,B.Tech,CHD,5.844934135482072
Male,B.Tech,CSE,5.635251434191885
Female,B.Tech,CSE,7.726846514055706
Female,B.Tech,CHD,6.589851769088138
Male,B.Tech,ECE,6.249506720699749
Female,B.Tech,CSE,5.532158346728973
Female,MS,ECE,8.389747938901355
Male,B.Tech,CND,6.994600715281821
Male,B.Tech,ECE,7.752406011470989
Female,B.Tech,CSE,6.161107927341794
Male,MS,CHD,8.125419624937393
Female,PhD,CND,8.252353633546809
Male,B.Tech,CSE,6.961261222053895
Male,PhD,CND,8.115193893297874
Female,B.Tech,CSE,7.420427635219197
Male,B.Tech,ECE,7.3269892163448604
Female,PhD,CSE,8.909894325914248
Male,B.Tech,CSE,7.8310078601637905
Female,B.Tech,CSE,6.647300230322767
Male,B.Tech,CSE,6.677216636279992
Female,B.Tech,CSE,7.349541420733168
Female,B.Tech,ECE,6.772668491868185
Male,B.Tech,ECE,9.01285584859781
Male,B.Tech,CHD,8.014449334244395
Male,PhD,ECE,8.473720152709925
Female,B.Tech,CSE,6.971380053794565
Male,B.Tech,CSE,8.894187968373503
Female,B.Tech,ECE,7.855418365783372
Male,MS,CND,8.247774515937014
Female,B.Tech,CSE,4.733973902278748
Male,B.Tech,ECE,6.817757556148984
Female,MS,ECE,8.184071233250437
Female,B.Tech,CND,7.050727534763335
Male,B.Tech,CSE,7.541797804889521
Male,B.Tech,CSE,6.762557195570082
Male,B.Tech,CSE,8.247790667554964
Male,B.Tech,CHD,7.5099936405661465
Male,B.Tech,CSE,8.030495537645201
Female,B.Tech,CND,6.056756068963818
Male,PhD,CHD,8.028336398599365
Female,MS,CSE,7.640255062797929
Female,B.Tech,CSE,5.0436281354649495
Male,MS,CND,8.017431837536082
Male,PhD,CSE,7.642173918445357
Male,B.Tech,ECE,9.832698700220297
Female,B.Tech,ECE,7.85218638577628
Male,MS,ECE,8.191547596624947
Male,B.Tech,ECE,5.968773140093447
Male,B.Tech,CSE,5.460786898463357
Male,B.Tech,CSE,7.557738384724657
Male,B.Tech,CSE,6.84806113370631
Female,B.Tech,CSE,6.852111525600702
Male,B.Tech,CHD,6.279449032652267
Male,B.Tech,ECE,9.815605446778333
Female,B.Tech,ECE,8.4004938264649
Female,B.Tech,ECE,6.764375490028443
Female,B.Tech,ECE,7.850372785795133
Male,B.Tech,ECE,5.956236337413322
Male,B.Tech,CSE,7.847712539095802
Male,B.Tech,CSE,8.03297111502308
Male,B.Tech,CSE,8.136503230639478
Male,MS,ECE,7.525657123289697
Male,B.Tech,CSE,6.947303121880375
Male,B.Tech,CHD,6.348290915898692
Female,B.Tech,CND,6.984354623106866
Female,B.Tech,CSE,6.627335991387609
Male,B.Tech,ECE,7.743281023755776
Female,B.Tech,ECE,6.91170387824412
Male,MS,CSE,8.553079229613674
Female,B.Tech,CSE,6.411595778484776
Male,B.Tech,ECE,7.7871002511877725
Male,PhD,CHD,7.684628043050393
Male,PhD,ECE,8.344429845602813
Male,B.Tech,ECE,6.767969047974434
Female,B.Tech,CSE,5.689566629279986
Female,MS,CHD,7.395806373472423
Male,B.Tech,ECE,6.710875516924386
Male,B.Tech,CND,7.093223340321634
Male,PhD,CHD,9.23281355726123
Male,B.Tech,CSE,6.337519272101151
Female,PhD,CHD,8.989950970132298
Male,B.Tech,CSE,6.400504374572219
Female,B.Tech,ECE,6.215344499265378
Male,B.Tech,CSE,7.855394702310082
Male,MS,ECE,7.558462639065962
Male,B.Tech,CND,5.45859648606762
Male,B.Tech,CSE,7.787341004233548
Male,B.Tech,CND,7.29399574712624
Male,B.Tech,ECE,6.4901409316915855
Male,B.Tech,CSE,5.0929176983090665
Female,MS,CSE,9.277439196089551
Male,B.Tech,CND,7.2172313350970105
Male,MS,ECE,9.55965843601673
Male,B.Tech,CND,7.900243740560885
Male,PhD,ECE,8.16094454148824
